Station,Full,Latitude,Longitude,Date,Hour,Temperature,RH,WindDirDegrees,WindDirCompass,WindSpeed,WindSpeedMax,Rain1Hr,Rain24Hr,TempMax,TempMin,RHMax,RHMin
GARYM,Gary's Meadow,52.785,-101.049,"Aug 16, 2026",12,24.6,47,255,wsw,8.9,22.9,0.00,0.51,24.6,23.7,50.0,42.0
GARLA,Garland,51.65,-100.47,"Aug 16, 2026",12,24.3,38,281,w,5.9,19.1,0.00,1.78,24.3,23.0,50.0,38.0
FLNDL,Flanders Lake,50.435,-95.22,"Aug 16, 2026",12,23.4,51,299,wnw,7.3,22.1,0.00,1.26,23.4,22.0,64.0,48.0
FLCNL,Falcon Lake,49.7002,-95.32,"Aug 16, 2026",12,24.2,47,316,nw,7.4,23.6,0.00,1.05,24.6,23.0,60.0,45.0
MINIT,,,,"Aug 16, 2026",12,21.9,61,250,wsw,21.2,33.8,0.00,2.60,NULL,NULL,NULL,NULL
MENIS,,,,"Aug 16, 2026",12,23.2,58,319,nw,17.0,30.3,0.00,0.00,NULL,NULL,NULL,NULL
MARCH,,,,"Aug 16, 2026",12,21.4,60,325,nw,16.7,28.4,0.00,0.40,NULL,NULL,NULL,NULL
LONGP,Long Point,52.869,-99.037,"Aug 16, 2026",12,26.2,36,273,w,14.3,29.2,0.00,0.25,26.2,25.7,41.0,36.0
LKSTG,Lake St. George,51.72,-97.399,"Aug 16, 2026",12,26.0,51,303,wnw,7.4,15.3,0.00,0.25,26.0,23.9,67.0,43.0
LGRPD,Little Grand Rapids,52.036134,-95.461372,"Aug 16, 2026",12,23.8,56,273,w,4.5,22.5,0.00,12.70,24.0,22.7,60.0,47.0
LEAFR,Leaf Rapids,56.471,-99.997,"Aug 16, 2026",12,22.3,46,229,sw,18.0,35.8,0.00,0.25,23.1,21.8,50.0,42.0
LDB,,,,"Aug 16, 2026",12,21.6,61,311,nw,14.2,23.1,0.00,2.50,NULL,NULL,NULL,NULL
LAURI,Laurie River,56.247883,-101.308386,"Aug 16, 2026",12,20.9,56,243,wsw,13.5,NULL,0.00,0.00,NULL,NULL,NULL,NULL
KNOBH,Knob Hill South,50.718,-95.74,"Aug 16, 2026",12,22.5,52,308,nw,10.3,24.6,0.00,2.03,23.1,21.7,59.0,47.0
KIPPN,Kippans Mill,50.93,-100.04,"Aug 16, 2026",12,22.4,52,260,w,8.9,27.1,0.00,0.40,NULL,NULL,NULL,NULL
ZHODA,,,,"Aug 16, 2026",12,22.1,63,337,nnw,13.4,26.5,0.00,0.10,NULL,NULL,NULL,NULL
WUSKW,Wuskatim,55.552578,-98.493045,"Aug 16, 2026",12,23.0,38,230,sw,23.6,26.2,0.00,3.60,NULL,NULL,NULL,NULL
WOODR,Woodridge,49.28,-96.15,"Aug 16, 2026",12,24.0,51,340,nnw,10.0,27.0,0.00,0.21,24.0,21.8,57.0,44.0
WILL,William River,53.962,-99.222,"Aug 16, 2026",12,24.1,47,277,w,5.0,28.0,0.00,9.13,24.1,22.5,57.0,44.0
WESTR,Westray,53.597,-101.351,"Aug 16, 2026",12,23.6,41,270,w,21.0,39.0,0.00,0.25,23.8,22.1,48.0,40.0
THPSN,Thompson Hydro,55.708,-97.891,"Aug 16, 2026",12,23.6,44,246,wsw,14.6,21.9,0.00,3.59,NULL,NULL,NULL,NULL
SWANV,,,,"Aug 16, 2026",12,22.5,56,241,wsw,19.6,32.9,0.00,0.90,NULL,NULL,NULL,NULL
STEAD,,,,"Aug 16, 2026",12,21.6,65,299,wnw,16.7,24.4,0.00,2.20,NULL,NULL,NULL,NULL
SPRLK,,,,"Aug 16, 2026",12,21.9,62,313,nw,15.1,31.5,0.00,0.30,NULL,NULL,NULL,NULL
SHILO,,,,"Aug 16, 2026",12,21.2,64,250,wsw,13.1,26.5,0.00,0.00,NULL,NULL,NULL,NULL
SHERR,Sherridon,55.123963,-101.087041,"Aug 16, 2026",12,24.1,45,236,sw,18.1,36.8,0.00,0.00,24.1,22.5,55.0,45.0
SASSR,Sassaginnigak River,51.531,-95.382,"Aug 16, 2026",12,21.8,50,303,wnw,16.2,28.0,0.00,11.18,21.9,20.9,60.0,49.0
SARAH,Sarah Lake,51.789,-101.293,"Aug 16, 2026",12,21.4,64,252,wsw,7.9,25.8,0.00,1.27,21.4,20.4,75.0,63.0
ROUND,Round Lake,52.01,-96.4,"Aug 16, 2026",12,22.8,49,272,w,18.6,32.8,0.00,1.52,23.4,22.2,53.0,45.0
ROSBG,Rosenburg Forest,51.09695,-97.202553,"Aug 16, 2026",12,25.7,41,277,w,6.0,25.0,0.00,0.09,25.8,24.8,54.0,40.0
RIVTN,,,,"Aug 16, 2026",12,23.0,58,302,wnw,16.6,27.3,0.00,0.40,NULL,NULL,NULL,NULL
REEFL,Reef Lake,52.53,-96.57,"Aug 16, 2026",12,23.7,47,292,wnw,15.5,28.7,0.00,1.27,23.8,23.0,49.0,43.0
REED,Reed Lake,54.58,-100.623,"Aug 16, 2026",12,24.1,40,245,wsw,16.6,41.3,0.00,0.00,24.3,23.4,47.0,39.0
PUKAT,Pukatawagan,55.742315,-101.316178,"Aug 16, 2026",12,21.9,50,230,sw,18.1,35.9,0.00,0.00,23.1,20.5,56.0,46.0
PROSP,Prospector,53.962548,-101.248189,"Aug 16, 2026",12,23.5,52,234,sw,14.6,29.5,0.00,0.00,23.5,22.2,56.0,50.0
PRAWD,,,,"Aug 16, 2026",12,22.4,60,319,nw,13.9,26.7,0.00,0.50,NULL,NULL,NULL,NULL
EWART,Ewart Lake,52.4,-95.83,"Aug 16, 2026",12,22.4,44,295,wnw,17.9,33.5,0.00,0.25,22.4,21.7,48.0,43.0
ETHEL,,,,"Aug 16, 2026",12,22.1,51,287,wnw,13.1,23.7,0.00,0.00,NULL,NULL,NULL,NULL
ELMA,,,,"Aug 16, 2026",12,21.9,60,325,nw,15.4,29.2,0.00,0.60,NULL,NULL,NULL,NULL
ECZKD,Kelsey Dam,56.037011,-96.511219,"Aug 16, 2026",12,22.5,54,233,sw,12.0,22.0,0.00,0.60,22.8,21.1,60.0,52.0
ECZHB,Hudson Bay,52.83,-101.999,"Aug 16, 2026",12,22.2,50,236,sw,17.0,30.0,0.00,0.20,23.0,21.0,59.0,49.0
ECYYL,Lynn Lake,56.864,-101.076,"Aug 16, 2026",12,20.6,58,220,sw,18.0,34.0,0.00,0.00,20.6,19.7,NULL,NULL
ECYNE,,,,"Aug 16, 2026",12,22.7,59,207,ssw,20.0,34.0,0.00,0.90,23.6,22.2,NULL,NULL
ECYIV,Island Lake,53.857919,-94.652869,"Aug 16, 2026",12,21.5,58,280,w,13.0,NULL,0.00,0.00,21.5,19.7,NULL,NULL
ECXWG,,,,"Aug 16, 2026",12,22.2,56,295,wnw,16.0,28.0,0.00,0.00,23.2,21.6,62.0,50.0
ECXMD,,,,"Aug 16, 2026",12,23.3,46,247,wsw,5.0,20.0,0.00,0.20,23.4,22.0,52.0,42.0
ECXDW,,,,"Aug 16, 2026",12,22.3,44,285,wnw,11.0,22.0,0.00,0.20,22.8,20.5,56.0,44.0
ECXBQ,Tadoule Lake,58.7061,-98.5122,"Aug 16, 2026",12,17.5,62,282,wnw,16.0,27.0,0.00,0.00,18.0,17.1,66.0,59.0
ECWZT,,,,"Aug 16, 2026",12,22.7,43,263,w,22.0,32.0,0.00,1.60,22.7,21.5,53.0,42.0
ECWZE,,,,"Aug 16, 2026",12,21.9,50,289,wnw,16.0,28.0,0.00,0.20,22.3,20.7,55.0,49.0
ECWXB,,,,"Aug 16, 2026",12,20.4,57,266,w,15.0,28.0,0.00,0.80,20.6,19.2,64.0,52.0
ECWWS,George Island,52.818739,-97.616445,"Aug 16, 2026",12,21.3,68,249,wsw,18.0,27.0,0.00,2.00,21.6,20.4,76.0,66.0
ECWWP,,,,"Aug 16, 2026",12,20.0,56,275,w,11.0,22.0,0.00,0.40,20.5,19.3,62.0,51.0
ECWWC,Collins Bay,58.178,-103.699,"Aug 16, 2026",12,11.5,94,341,nnw,15.0,27.0,2.00,4.00,12.9,11.5,96.0,90.0
ECWSZ,Fisher Branch,51.083421,-97.554481,"Aug 16, 2026",12,23.7,48,294,wnw,15.0,31.0,0.00,0.20,23.7,21.8,60.0,46.0
ECWSU,,,,"Aug 16, 2026",12,21.4,63,305,nw,18.0,29.0,0.00,0.20,21.4,19.9,69.0,59.0
ECWPO,,,,"Aug 16, 2026",12,20.4,54,285,wnw,11.0,20.0,0.20,0.40,21.0,19.7,62.0,52.0
ECWOO,Wilson Creek,50.72,-99.531,"Aug 16, 2026",12,22.4,49,322,nw,11.0,21.0,0.00,2.40,22.6,20.8,57.0,45.0
ECWOJ,,,,"Aug 16, 2026",12,20.6,72,290,wnw,14.0,20.0,0.00,0.00,20.7,19.5,77.0,72.0
ECWNK,Carman,49.501,-98.028,"Aug 16, 2026",12,22.3,55,296,wnw,12.0,21.0,0.20,0.20,22.6,20.6,64.0,49.0
ECWJD,,,,"Aug 16, 2026",12,23.1,54,256,wsw,11.0,32.0,0.00,0.60,23.8,21.7,62.0,52.0
ECWGX,Gillam,56.35936,-94.70411,"Aug 16, 2026",12,22.1,57,292,wnw,13.0,23.0,0.00,0.80,22.6,21.5,62.0,54.0
ECWGN,,,,"Aug 16, 2026",12,23.1,46,301,wnw,12.0,28.0,0.00,0.20,23.7,21.5,52.0,45.0
ECWFO,Bakers Narrows,54.67,-101.67,"Aug 16, 2026",12,22.6,52,247,wsw,18.0,31.0,0.00,0.20,22.8,21.7,54.0,48.0
ECWEQ,,,,"Aug 16, 2026",12,22.8,51,245,wsw,20.0,32.0,0.00,0.00,23.3,21.5,59.0,51.0
ECWEI,,,,"Aug 16, 2026",12,20.8,53,239,wsw,5.0,16.0,0.20,0.20,21.7,20.1,59.0,51.0
ECWEA,Pinawa,50.177,-96.06,"Aug 16, 2026",12,22.2,56,302,wnw,14.0,25.0,0.00,1.60,22.6,20.7,64.0,53.0
ECWCF,,,,"Aug 16, 2026",12,20.6,72,279,w,21.0,26.0,0.00,0.80,21.0,20.2,79.0,71.0
ECPYQ,,,,"Aug 16, 2026",12,21.9,54,263,w,16.0,25.0,0.20,0.40,21.9,20.5,60.0,53.0
ECPTO,Thompson,55.8,-97.861,"Aug 16, 2026",12,23.3,45,254,wsw,23.0,36.0,0.20,4.00,23.4,21.7,58.0,45.0
ECPRJ,,,,"Aug 16, 2026",12,21.9,53,229,sw,15.0,28.0,0.00,0.20,22.4,20.6,56.0,49.0
ECPQD,,,,"Aug 16, 2026",12,23.1,50,257,wsw,24.0,36.0,0.00,0.60,23.3,21.3,54.0,48.0
ECPOY,Cypress River,49.562407,-99.073804,"Aug 16, 2026",12,21.7,59,291,wnw,12.0,23.0,0.00,0.20,22.2,20.7,67.0,53.0
ECPOW,Snow Lake,54.877882,-100.013308,"Aug 16, 2026",12,22.4,46,229,sw,14.0,33.0,0.00,1.00,24.1,22.4,49.0,42.0
ECPLE,,,,"Aug 16, 2026",12,21.1,57,220,sw,18.0,32.0,0.00,0.00,21.1,19.7,58.0,55.0
ECPIV,Island Lake,53.853,-94.644,"Aug 16, 2026",12,21.2,57,278,w,12.0,18.0,0.00,3.80,21.3,19.6,70.0,56.0
ECPGH,,,,"Aug 16, 2026",12,22.8,53,296,wnw,18.0,27.0,0.00,0.20,23.4,21.7,62.0,50.0
ECPGF,Great Falls,50.459013,-96.010316,"Aug 16, 2026",12,21.6,54,315,nw,8.0,19.0,0.20,0.60,22.2,20.7,66.0,51.0
ECPBO,,,,"Aug 16, 2026",12,21.0,54,277,w,12.0,26.0,0.00,0.20,21.2,19.9,65.0,52.0
DEVIL,Devil's Lake,52.466,-98.88,"Aug 16, 2026",12,24.9,42,266,w,14.3,26.0,0.00,0.50,25.1,24.2,48.0,41.0
DEEPL,Deep Lake,50.86,-100.84,"Aug 16, 2026",12,21.4,47,250,wsw,7.0,21.3,0.00,0.00,NULL,NULL,NULL,NULL
CRETN,Creighton,54.649,-102.084,"Aug 16, 2026",12,21.7,56,195,ssw,13.1,23.6,0.00,0.00,22.2,21.0,60.0,54.0
CRANP,Cranberry Portage,54.586176,-101.377607,"Aug 16, 2026",12,24.1,46,237,wsw,10.0,28.0,0.00,0.51,24.8,23.5,50.0,41.0
CACHE,Cache Lake,51.621,-100.908,"Aug 16, 2026",12,21.6,51,232,sw,9.6,25.1,0.00,0.25,21.7,20.8,54.0,44.0
BURNT,Burntwood,55.379,-100.489,"Aug 16, 2026",12,23.2,42,247,wsw,21.1,33.3,0.00,1.52,23.4,22.4,44.0,41.0
BSSTT,Bissett,51.03,-95.702,"Aug 16, 2026",12,24.4,52,301,wnw,5.6,16.7,0.00,5.83,24.7,22.1,69.0,49.0
BIRCH,,,,"Aug 16, 2026",12,23.4,51,244,wsw,15.3,30.5,0.00,8.60,NULL,NULL,NULL,NULL
BEAUS,,,,"Aug 16, 2026",12,23.2,55,301,wnw,14.4,22.8,0.00,0.70,NULL,NULL,NULL,NULL
ATIKL,Atik Lake,54.232,-101.358,"Aug 16, 2026",12,25.2,41,259,w,10.7,27.3,0.00,0.25,25.2,24.1,53.0,40.0
